Reference SFDC Data File Name,Master Type (Finnone/Manual),Finnone Master shared with PWC on 17-02-2025,SFDC Master Name,Rule - Primary / composite Key column,In which Category we need to add,Shoud not be empty
Charge Master (EMI Charges),Manual Master,NBFC_CHARGES_M.xlsx,ChargeMaster__c ,"Charge_Amount__c,ChargeCodeID__c,ChargeDesc__c,ChargeID__c,Charge_Rate__c",RecordType.Name = 'EMI Charges',
,Manual Master,48. Charges_For_TW_306_218_740_741.xlsx,,,,
Charge (EMI) to Scheme Map,Manual Master,,SchMapping__c ,"ChargeMaster__c,ChargeMaster__r.ChargeDesc__c,Product__c,Product__r.Product_Code__c,SchGroup__c,SchGroup__r.SCHID__c",Relation_Type__c ='Charge Scheme Product',
Charge Master (PS Pricing Grid),Manual Master,,ChargeMaster__c ,"Min_LTV__c,Max_LTV__c,Min_Bureau_Score__c,Max_Bureau_Score__c,BRE_Status__c,RAAC_Rate_OI__c,RAAC_PF__c,ROI_with_Approval__c,PF_with_Approval__c,ROI_without_Approval__c,PF_without_Approval__c,Stage__c",RecordType.Name='Pricing Grid Modifications',
Charge (PS PG) to Scheme Map,Manual Master,,SchMapping__c ,"ChargeMaster__r,SchGroup__r.SCHID__c,Product__r.Product_Code__c",Relation_Type__c = 'RAAC Scheme Product',"ChargeMaster__r.Min_LTV__c,ChargeMaster__r.Max_LTV__c,ChargeMaster__r.Min_Bureau_Score__c,ChargeMaster__r.Max_Bureau_Score__c,ChargeMaster__r.BRE_Status__c,ChargeMaster__r.RAAC_Rate_OI__c,ChargeMaster__r.RAAC_PF__c,ChargeMaster__r.ROI_with_Approval__c,
ChargeMaster__r.PF_with_Approval__c,ChargeMaster__r.ROI_without_Approval__c,ChargeMaster__r.PF_without_Approval__c,ChargeMaster__r.Stage__c,SchGroup__r.SCHID__c, SchGroup__r.Name, Product__r.Product_Code__c"
Product Scheme Branch Map,Manual Master,Branch Wise Pin Code Master.xlsx,SchMapping__c ,"Product__r.Product_Code__c,SchGroup__r.SCHID__c,SchGroup__r.Name,Branch__r.BrchCode__c",Relation_Type__c = 'Product Scheme Branch',
Generic Master (NBFC_LANG_M),Finnone Master,NBFC_LANGUAGE_M.xlsx,MasterData__c ,"FinnoneCode__c, FinnoneVal__c, SalesforceCode__c,Master_Table_Name__c, MiscField1__c ",Master_Table_Name__c = 'NBFC_LANGUAGE_M',
Generic Master (NBFC_CONST_M),Finnone Master,NBFC_CONST_M.xlsx,MasterData__c ,"Master_Table_Name__c,FinnoneCode__c, FinnoneVal__c",Master_Table_Name__c = 'NBFC_CONST_M',
Generic Master (LEA_SCHEME_DUE),Finnone Master,LEA_SCHEME_DUEDATE.xlsx,MasterData__c ,"Master_Table_Name__c,FinnoneCode__c,FinnoneVal__c,SchCode__c",Master_Table_Name__c ='LEA_SCHEME_DUEDATE',
Generic Master (lea_effective_PLR_UAT),Finnone Master,lea_effective_plr.xlsx,MasterData__c ,"Master_Table_Name__c,FinnoneCode__c,FinnoneVal__c,MiscField1__c",Master_Table_Name__c ='lea_effective_PLR_UAT' ,
Generic Master (REPAY_SCHEDULE),Manual Master,,MasterData__c ,"Key__c,Value__c,Name,Business_Unit__c,Type__c",Type__c  ='Repayment_Schedule',
Generic Master(LEA_SPREAD_M),Finnone Master,LEA_SPREAD_M.xlsx,MasterData__c ,"Master_Table_Name__c,FinnoneCode__c,FinnoneVal__c,Business_Unit__c",Master_Table_Name__c ='LEA_SPREAD_M',
Generic Master(LOS_MAS_REASON),Finnone Master,LOS_MAS_REASON.xlsx,MasterData__c ,"Business_Unit__c, Master_Table_Name__c, Type__c, FinnoneCode__c, FinnoneVal__c, ReasonCode__c, ReasonDesc__c",Master_Table_Name__c = 'LOS_MAS_REASON' AND RecordType.Name='Master',
Generic Master(LEA_CUSTOMER_CA),Finnone Master,LEA_CUSTOMER_CATG_M.xlsx,MasterData__c ,"Master_Table_Name__c, FinnoneCode__c,FinnoneVal__c, Business_Unit__c",Master_Table_Name__c = 'LEA_CUSTOMER_CATG_M',
Scheme Date Handling Map,Manual Master,No Finnone Master,SchMapping__c ,"SchGroup__r.SCHID__c,Disbursal_Date__c,Effective_Interest_Start_Date__c,First_EMI_Due_Date__c,EMI_Date__c,Customer_EMI_Start_Date__c,Moratorium_Grace_applicable__c",Relation_Type__c ='Scheme Disbursal',"If Moratorium_Grace_applicable__c (Y/N) below field value changes
Moratorium_Grace_period__c,Impact_on_Tenure__c,Charge_Interest__c,Add_Interest_in_Schedule__c "
Generic Master(DATE HANDLING),,,MasterData__c ,"Master_Table_Name__c,FinnoneCode__c,FinnoneVal__c,MiscField1__c,Business_Unit__c",Master_Table_Name__c ='Date Handling Master',
